number,title,login,created_at,closed_at,is_pr
183,Some LinearAlgebra rrules,willtebbutt,2020-05-03T19:42:28.0,,false
182,Add rules for all Symmetric/Hermitian constructors,sethaxen,2020-05-01T20:31:31.0,2020-07-06T00:43:47.0,true
181,Use global random number generator,mattBrzezinski,2020-04-29T19:37:15.0,2020-05-01T17:00:30.0,true
180,Clean out all of the local random number generators from the test,oxinabox,2020-04-29T12:20:04.0,2020-05-01T17:00:30.0,false
179,[WIP] rrule for eigen decomposition ,ajozefiak,2020-04-28T20:36:50.0,,true
178,handle `uplo` argument for Symmetric,oxinabox,2020-04-28T16:43:45.0,2020-07-06T00:43:47.0,false
176,possible test failure in upcoming Julia version 1.5,rfourquet,2020-04-24T13:05:45.0,2020-11-17T11:16:48.0,false
175,Fix errors revealed by Zygote's tests,oxinabox,2020-04-20T18:10:05.0,2020-04-29T10:45:23.0,true
174,FastMath operations,MikeInnes,2020-04-20T16:08:42.0,2020-05-07T19:34:16.0,false
173,Added support for ldexp and clamp,freemin7,2020-04-17T20:01:24.0,2020-05-21T20:26:44.0,true
172,Delete higher order function rules,oxinabox,2020-04-17T17:49:53.0,2020-04-20T10:42:06.0,true
170,Update to FiniteDifferences 0.9,nickrobinson251,2020-03-01T14:13:53.0,2020-03-03T12:08:09.0,true
169,Update to new API,willtebbutt,2020-02-19T23:35:42.0,2020-02-25T16:03:57.0,true
168,Install TagBot as a GitHub Action,JuliaTagBot,2020-02-08T14:43:53.0,2020-02-08T15:36:28.0,true
167,Use ChainRulesTestUtils.jl,mattBrzezinski,2020-02-03T20:26:53.0,2020-02-07T14:35:39.0,true
166,Use ChainRulesTestUtils.jl,mattBrzezinski,2020-02-01T18:44:17.0,2020-02-07T19:58:26.0,false
165,Switch to Blue Style,nickrobinson251,2020-01-26T15:41:45.0,2020-01-28T13:04:08.0,true
164,Change Cholesky to use `Composite`,nickrobinson251,2020-01-23T13:55:21.0,2020-01-30T21:48:50.0,true
163,Move docs to ChainRulesCore,oxinabox,2020-01-22T19:17:12.0,2020-01-22T20:21:39.0,true
162,Fix docs building,oxinabox,2020-01-22T15:52:49.0,2020-01-22T17:01:07.0,true
161,"Remove `store!`, `accumulate`, `accumulate!`",nickrobinson251,2020-01-22T12:38:29.0,2020-01-22T14:37:13.0,true
160,Docs are not deploying?,oxinabox,2020-01-22T12:20:50.0,2020-01-22T17:01:07.0,false
159,Update docs make.jl,oxinabox,2020-01-21T17:48:14.0,2020-01-21T18:57:51.0,true
158,Break up giant single page of docs,oxinabox,2020-01-21T16:16:13.0,2020-01-21T19:36:08.0,true
157,Change SVD to use `Composite`,nickrobinson251,2020-01-20T20:56:11.0,2020-01-22T18:29:24.0,true
156,Add difference between `Zero` and `DoesNotExist` to FAQ,oxinabox,2020-01-20T12:04:01.0,2020-01-20T14:44:32.0,true
155,Changes to Docs,willtebbutt,2020-01-18T16:25:44.0,,false
154,generic frule for constructors?,oxinabox,2020-01-18T12:22:51.0,,false
153,generic `rrule` for all `getfield`,oxinabox,2020-01-18T12:11:48.0,,false
152,Doc updates for ChainRulesCore 0.5,oxinabox,2020-01-17T23:00:37.0,2020-01-20T14:50:19.0,true
151,Update Cholesky and SVD to use Composite,oxinabox,2020-01-16T18:08:13.0,2020-01-30T21:52:59.0,false
150,Remove TODO sections in docs,oxinabox,2020-01-15T11:23:22.0,2020-01-20T16:34:01.0,true
149,Tests broken on Julia 1.3,YingboMa,2020-01-13T18:56:46.0,,false
148,Add broadcast in the `frule` for `*`,YingboMa,2020-01-13T00:23:21.0,2020-01-13T19:07:45.0,true
147,Add NanosoldierReports badge,nickrobinson251,2020-01-11T19:03:50.0,2020-01-11T19:45:31.0,true
146,Update to ChainRulesCore 0.5.1,YingboMa,2020-01-11T06:04:52.0,2020-01-12T23:01:38.0,true
145,WIP: Update for ChainRulesCore v0.5,oxinabox,2020-01-10T20:00:37.0,2020-01-15T11:23:51.0,true
144,Backpropagation-Friendly Eigendecomposition,ChrisRackauckas,2020-01-07T13:34:14.0,,false
