number,title,login,created_at,closed_at,is_pr
50,contextual tagging documentation,jrevels,2018-07-09T18:51:21.0,,false
49,Refactor for recent IR changes + move context definition out of macro,jrevels,2018-06-21T21:43:22.0,2018-06-22T17:40:25.0,true
48,Overdubbing kwargs methods,jekbradbury,2018-06-13T02:12:08.0,,false
47,update Cassette for https://github.com/JuliaLang/julia/pull/27452,jrevels,2018-06-08T16:09:53.0,2018-06-22T17:40:25.0,false
46,"[WIP] bring back metadata propagation (but instead of `Box`es, we now have `Tagged` objects)",jrevels,2018-06-08T11:23:41.0,2018-06-18T13:44:38.0,true
45,bad inferrability is back on recent Julia master,jrevels,2018-05-31T18:14:06.0,2018-07-15T13:26:34.0,false
44,cassette method overloads not respected,jrevels,2018-05-18T00:51:45.0,2018-06-14T13:46:52.0,false
43,reinstate/redesign argument-local metadata propagation,jrevels,2018-05-10T23:51:21.0,2018-08-02T20:01:22.0,false
42,UnionAll inference issues,jrevels,2018-05-10T23:38:28.0,2018-07-09T12:23:15.0,false
41,refactor overdub/context code,jrevels,2018-04-20T17:11:02.0,2018-05-10T23:34:22.0,true
40,use new impending spoof format,jrevels,2018-04-16T18:57:55.0,2018-04-20T16:44:34.0,true
39,Fix Overdub printing method,Keno,2018-04-15T00:29:53.0,2018-04-16T14:56:02.0,true
38,Make Cassette more eloquent,maleadt,2018-04-04T13:12:09.0,2018-04-11T17:33:09.0,true
37,fix tag generation to respect nested contexts,jrevels,2018-04-02T21:07:29.0,2018-04-02T23:06:15.0,true
36,Fix tag generation,jrevels,2018-04-02T20:41:00.0,2018-04-02T23:06:15.0,false
35,Relabel :enter Exprs,maleadt,2018-03-20T10:15:03.0,2018-03-21T15:55:13.0,true
34,"make API macros accept normal method definitions by using default bindings for trace metadata, context, etc.",jrevels,2018-03-06T17:56:10.0,2018-03-06T19:53:16.0,true
33,use invoke workaround for Overdub{Execute},jrevels,2018-03-03T21:01:51.0,2018-04-30T22:27:01.0,true
32,split hook into prehook and posthook,jrevels,2018-03-02T20:27:53.0,2018-03-02T21:00:01.0,true
